date,store_id,revenue,day_of_week,month,is_holiday,is_promo,store_city,store_state,store_region,population_density,median_income
2024-08-10,S001,6692.18,5,8,0,0,New York,NY,Northeast,High,High
2024-08-11,S001,5623.6,6,8,0,0,New York,NY,Northeast,High,High
2024-08-12,S001,4279.58,0,8,0,0,New York,NY,Northeast,High,High
2024-08-13,S001,3497.91,1,8,0,0,New York,NY,Northeast,High,High
2024-08-14,S001,4007.71,2,8,0,0,New York,NY,Northeast,High,High
2024-08-15,S001,4581.71,3,8,0,0,New York,NY,Northeast,High,High
2024-08-16,S001,5648.42,4,8,0,0,New York,NY,Northeast,High,High
2024-08-17,S001,6826.66,5,8,0,0,New York,NY,Northeast,High,High
2024-08-18,S001,5417.74,6,8,0,0,New York,NY,Northeast,High,High
2024-08-19,S001,4170.63,0,8,0,0,New York,NY,Northeast,High,High
2024-08-20,S001,3986.37,1,8,0,0,New York,NY,Northeast,High,High
2024-08-21,S001,3611.95,2,8,0,0,New York,NY,Northeast,High,High
2024-08-22,S001,4663.8,3,8,0,0,New York,NY,Northeast,High,High
2024-08-23,S001,6811.12,4,8,0,0,New York,NY,Northeast,High,High
2024-08-24,S001,5010.8,5,8,0,0,New York,NY,Northeast,High,High
2024-08-25,S001,5834.51,6,8,0,0,New York,NY,Northeast,High,High
2024-08-26,S001,4003.19,0,8,0,0,New York,NY,Northeast,High,High
2024-08-27,S001,3831.79,1,8,0,0,New York,NY,Northeast,High,High
2024-08-28,S001,4400.86,2,8,0,0,New York,NY,Northeast,High,High
2024-08-29,S001,4552.55,3,8,0,0,New York,NY,Northeast,High,High
2024-08-30,S001,5542.29,4,8,0,0,New York,NY,Northeast,High,High
2024-08-31,S001,6351.23,5,8,0,0,New York,NY,Northeast,High,High
2024-09-01,S001,5268.03,6,9,0,0,New York,NY,Northeast,High,High
2024-09-02,S001,5843.61,0,9,1,0,New York,NY,Northeast,High,High
2024-09-03,S001,3140.0,1,9,0,0,New York,NY,Northeast,High,High
2024-09-04,S001,3840.4,2,9,0,0,New York,NY,Northeast,High,High
2024-09-05,S001,4062.65,3,9,0,0,New York,NY,Northeast,High,High
2024-09-06,S001,5753.86,4,9,0,0,New York,NY,Northeast,High,High
2024-09-07,S001,5325.24,5,9,0,0,New York,NY,Northeast,High,High
2024-09-08,S001,5615.6,6,9,0,0,New York,NY,Northeast,High,High
2024-09-09,S001,4045.96,0,9,0,0,New York,NY,Northeast,High,High
2024-09-10,S001,3659.63,1,9,0,0,New York,NY,Northeast,High,High
2024-09-11,S001,3938.3,2,9,0,0,New York,NY,Northeast,High,High
2024-09-12,S001,3685.31,3,9,0,0,New York,NY,Northeast,High,High
2024-09-13,S001,4564.33,4,9,0,0,New York,NY,Northeast,High,High
2024-09-14,S001,5831.29,5,9,0,0,New York,NY,Northeast,High,High
2024-09-15,S001,7943.58,6,9,0,1,New York,NY,Northeast,High,High
2024-09-16,S001,3655.82,0,9,0,0,New York,NY,Northeast,High,High
2024-09-17,S001,4681.77,1,9,0,0,New York,NY,Northeast,High,High
2024-09-18,S001,3921.15,2,9,0,0,New York,NY,Northeast,High,High
2024-09-19,S001,4291.43,3,9,0,0,New York,NY,Northeast,High,High
2024-09-20,S001,6542.77,4,9,0,1,New York,NY,Northeast,High,High
2024-09-21,S001,5873.47,5,9,0,0,New York,NY,Northeast,High,High
2024-09-22,S001,6115.61,6,9,0,0,New York,NY,Northeast,High,High
2024-09-23,S001,3971.65,0,9,0,0,New York,NY,Northeast,High,High
2024-09-24,S001,3407.7,1,9,0,0,New York,NY,Northeast,High,High
2024-09-25,S001,4276.81,2,9,0,0,New York,NY,Northeast,High,High
2024-09-26,S001,4688.93,3,9,0,0,New York,NY,Northeast,High,High
2024-09-27,S001,7042.99,4,9,0,1,New York,NY,Northeast,High,High
2024-09-28,S001,5626.68,5,9,0,1,New York,NY,Northeast,High,High
2024-09-29,S001,5016.95,6,9,0,0,New York,NY,Northeast,High,High
2024-09-30,S001,4323.12,0,9,0,0,New York,NY,Northeast,High,High
2024-10-01,S001,3558.04,1,10,0,0,New York,NY,Northeast,High,High
2024-10-02,S001,4631.78,2,10,0,0,New York,NY,Northeast,High,High
2024-10-03,S001,4332.52,3,10,0,0,New York,NY,Northeast,High,High
2024-10-04,S001,5303.75,4,10,0,0,New York,NY,Northeast,High,High
2024-10-05,S001,6449.46,5,10,0,0,New York,NY,Northeast,High,High
2024-10-06,S001,5424.71,6,10,0,0,New York,NY,Northeast,High,High
2024-10-07,S001,4527.04,0,10,0,0,New York,NY,Northeast,High,High
2024-10-08,S001,4117.27,1,10,0,0,New York,NY,Northeast,High,High
2024-10-09,S001,3557.57,2,10,0,0,New York,NY,Northeast,High,High
2024-10-10,S001,5277.64,3,10,0,0,New York,NY,Northeast,High,High
2024-10-11,S001,5088.87,4,10,0,0,New York,NY,Northeast,High,High
2024-10-12,S001,5482.06,5,10,0,0,New York,NY,Northeast,High,High
2024-10-13,S001,5264.28,6,10,0,0,New York,NY,Northeast,High,High
2024-10-14,S001,4245.62,0,10,0,0,New York,NY,Northeast,High,High
2024-10-15,S001,3510.15,1,10,0,0,New York,NY,Northeast,High,High
2024-10-16,S001,3372.62,2,10,0,0,New York,NY,Northeast,High,High
2024-10-17,S001,4883.21,3,10,0,0,New York,NY,Northeast,High,High
2024-10-18,S001,6070.69,4,10,0,0,New York,NY,Northeast,High,High
2024-10-19,S001,5706.04,5,10,0,0,New York,NY,Northeast,High,High
2024-10-20,S001,6178.26,6,10,0,0,New York,NY,Northeast,High,High
2024-10-21,S001,3811.75,0,10,0,0,New York,NY,Northeast,High,High
2024-10-22,S001,4073.14,1,10,0,0,New York,NY,Northeast,High,High
2024-10-23,S001,3802.64,2,10,0,0,New York,NY,Northeast,High,High
2024-10-24,S001,4664.64,3,10,0,0,New York,NY,Northeast,High,High
2024-10-25,S001,5471.34,4,10,0,0,New York,NY,Northeast,High,High
2024-10-26,S001,6392.84,5,10,0,0,New York,NY,Northeast,High,High
2024-10-27,S001,6124.4,6,10,0,0,New York,NY,Northeast,High,High
2024-10-28,S001,4460.04,0,10,0,0,New York,NY,Northeast,High,High
2024-10-29,S001,3769.07,1,10,0,0,New York,NY,Northeast,High,High
2024-10-30,S001,4359.48,2,10,0,0,New York,NY,Northeast,High,High
2024-10-31,S001,4210.03,3,10,0,0,New York,NY,Northeast,High,High
2024-11-01,S001,8965.44,4,11,0,1,New York,NY,Northeast,High,High
2024-11-02,S001,9834.51,5,11,0,0,New York,NY,Northeast,High,High
2024-11-03,S001,8583.26,6,11,0,0,New York,NY,Northeast,High,High
2024-11-04,S001,6728.27,0,11,0,1,New York,NY,Northeast,High,High
2024-11-05,S001,4782.94,1,11,0,0,New York,NY,Northeast,High,High
2024-11-06,S001,4258.71,2,11,0,0,New York,NY,Northeast,High,High
2024-11-07,S001,6100.53,3,11,0,0,New York,NY,Northeast,High,High
2024-11-08,S001,7354.57,4,11,0,0,New York,NY,Northeast,High,High
2024-11-09,S001,7707.72,5,11,0,0,New York,NY,Northeast,High,High
2024-11-10,S001,8136.75,6,11,0,0,New York,NY,Northeast,High,High
2024-11-11,S001,5412.46,0,11,0,0,New York,NY,Northeast,High,High
2024-11-12,S001,8077.38,1,11,0,1,New York,NY,Northeast,High,High
2024-11-13,S001,4955.48,2,11,0,0,New York,NY,Northeast,High,High
2024-11-14,S001,5639.09,3,11,0,0,New York,NY,Northeast,High,High
2024-11-15,S001,7441.86,4,11,0,0,New York,NY,Northeast,High,High
2024-11-16,S001,7002.51,5,11,0,0,New York,NY,Northeast,High,High
2024-11-17,S001,7392.03,6,11,0,0,New York,NY,Northeast,High,High
2024-11-18,S001,5253.81,0,11,0,0,New York,NY,Northeast,High,High
2024-11-19,S001,4830.24,1,11,0,0,New York,NY,Northeast,High,High
2024-11-20,S001,5048.66,2,11,0,0,New York,NY,Northeast,High,High
2024-11-21,S001,5174.07,3,11,0,0,New York,NY,Northeast,High,High
2024-11-22,S001,9801.91,4,11,0,1,New York,NY,Northeast,High,High
2024-11-23,S001,7459.59,5,11,0,0,New York,NY,Northeast,High,High
2024-11-24,S001,6918.4,6,11,0,0,New York,NY,Northeast,High,High
2024-11-25,S001,5895.91,0,11,0,0,New York,NY,Northeast,High,High
2024-11-26,S001,4780.75,1,11,0,0,New York,NY,Northeast,High,High
2024-11-27,S001,5493.46,2,11,0,0,New York,NY,Northeast,High,High
2024-11-28,S001,8518.75,3,11,1,0,New York,NY,Northeast,High,High
2024-11-29,S001,13150.41,4,11,1,1,New York,NY,Northeast,High,High
2024-11-30,S001,8031.63,5,11,0,0,New York,NY,Northeast,High,High
2024-12-01,S001,8897.01,6,12,0,0,New York,NY,Northeast,High,High
2024-12-02,S001,6559.41,0,12,0,0,New York,NY,Northeast,High,High
2024-12-03,S001,5393.34,1,12,0,0,New York,NY,Northeast,High,High
2024-12-04,S001,5220.38,2,12,0,0,New York,NY,Northeast,High,High
2024-12-05,S001,5840.56,3,12,0,0,New York,NY,Northeast,High,High
2024-12-06,S001,10288.39,4,12,0,1,New York,NY,Northeast,High,High
2024-12-07,S001,8504.57,5,12,0,0,New York,NY,Northeast,High,High
2024-12-08,S001,7744.61,6,12,0,0,New York,NY,Northeast,High,High
2024-12-09,S001,6042.98,0,12,0,0,New York,NY,Northeast,High,High
2024-12-10,S001,5276.4,1,12,0,0,New York,NY,Northeast,High,High
2024-12-11,S001,6336.98,2,12,0,0,New York,NY,Northeast,High,High
2024-12-12,S001,7086.8,3,12,0,0,New York,NY,Northeast,High,High
2024-12-13,S001,8717.11,4,12,0,0,New York,NY,Northeast,High,High
2024-12-14,S001,8555.99,5,12,0,0,New York,NY,Northeast,High,High
2024-12-15,S001,8420.43,6,12,0,0,New York,NY,Northeast,High,High
2024-12-16,S001,8398.3,0,12,0,1,New York,NY,Northeast,High,High
2024-12-17,S001,5584.69,1,12,0,0,New York,NY,Northeast,High,High
2024-12-18,S001,5056.66,2,12,0,0,New York,NY,Northeast,High,High
2024-12-19,S001,6701.49,3,12,0,0,New York,NY,Northeast,High,High
2024-12-20,S001,6259.74,4,12,0,0,New York,NY,Northeast,High,High
2024-12-21,S001,9791.52,5,12,0,0,New York,NY,Northeast,High,High
2024-12-22,S001,10697.17,6,12,0,1,New York,NY,Northeast,High,High
2024-12-23,S001,6495.18,0,12,0,0,New York,NY,Northeast,High,High
2024-12-24,S001,8769.31,1,12,1,0,New York,NY,Northeast,High,High
2024-12-25,S001,8757.75,2,12,1,0,New York,NY,Northeast,High,High
2024-12-26,S001,6971.27,3,12,0,0,New York,NY,Northeast,High,High
2024-12-27,S001,7207.7,4,12,0,0,New York,NY,Northeast,High,High
2024-12-28,S001,8207.08,5,12,0,0,New York,NY,Northeast,High,High
2024-12-29,S001,8989.02,6,12,0,0,New York,NY,Northeast,High,High
2024-12-30,S001,6528.62,0,12,0,0,New York,NY,Northeast,High,High
2024-12-31,S001,13065.11,1,12,1,1,New York,NY,Northeast,High,High
2025-01-01,S001,7317.58,2,1,1,1,New York,NY,Northeast,High,High
2025-01-02,S001,4717.92,3,1,0,0,New York,NY,Northeast,High,High
2025-01-03,S001,5183.96,4,1,0,0,New York,NY,Northeast,High,High
2025-01-04,S001,5966.06,5,1,0,0,New York,NY,Northeast,High,High
2025-01-05,S001,5839.73,6,1,0,0,New York,NY,Northeast,High,High
2025-01-06,S001,3921.97,0,1,0,0,New York,NY,Northeast,High,High
2025-01-07,S001,4017.59,1,1,0,0,New York,NY,Northeast,High,High
2025-01-08,S001,3970.1,2,1,0,0,New York,NY,Northeast,High,High
2025-01-09,S001,4707.55,3,1,0,0,New York,NY,Northeast,High,High
2025-01-10,S001,5247.08,4,1,0,0,New York,NY,Northeast,High,High
2025-01-11,S001,5080.04,5,1,0,0,New York,NY,Northeast,High,High
2025-01-12,S001,6361.92,6,1,0,0,New York,NY,Northeast,High,High
2025-01-13,S001,4297.03,0,1,0,0,New York,NY,Northeast,High,High
2025-01-14,S001,3773.95,1,1,0,0,New York,NY,Northeast,High,High
2025-01-15,S001,4411.46,2,1,0,0,New York,NY,Northeast,High,High
2025-01-16,S001,4411.52,3,1,0,0,New York,NY,Northeast,High,High
2025-01-17,S001,7388.52,4,1,0,1,New York,NY,Northeast,High,High
2025-01-18,S001,5622.55,5,1,0,0,New York,NY,Northeast,High,High
2025-01-19,S001,5677.41,6,1,0,0,New York,NY,Northeast,High,High
2025-01-20,S001,6042.71,0,1,1,0,New York,NY,Northeast,High,High
2025-01-21,S001,3762.84,1,1,0,0,New York,NY,Northeast,High,High
2025-01-22,S001,3887.25,2,1,0,0,New York,NY,Northeast,High,High
2025-01-23,S001,4709.65,3,1,0,0,New York,NY,Northeast,High,High
2025-01-24,S001,5452.84,4,1,0,0,New York,NY,Northeast,High,High
2025-01-25,S001,5956.62,5,1,0,0,New York,NY,Northeast,High,High
2025-01-26,S001,5181.16,6,1,0,0,New York,NY,Northeast,High,High
2025-01-27,S001,4650.08,0,1,0,0,New York,NY,Northeast,High,High
2025-01-28,S001,4286.31,1,1,0,0,New York,NY,Northeast,High,High
2025-01-29,S001,4167.65,2,1,0,0,New York,NY,Northeast,High,High
2025-01-30,S001,4801.23,3,1,0,0,New York,NY,Northeast,High,High
2025-01-31,S001,5662.53,4,1,0,0,New York,NY,Northeast,High,High
2025-02-01,S001,6692.63,5,2,0,0,New York,NY,Northeast,High,High
2025-02-02,S001,5578.63,6,2,0,0,New York,NY,Northeast,High,High
2025-02-03,S001,4036.12,0,2,0,0,New York,NY,Northeast,High,High
2025-02-04,S001,5111.49,1,2,0,1,New York,NY,Northeast,High,High
2025-02-05,S001,4176.77,2,2,0,0,New York,NY,Northeast,High,High
2025-02-06,S001,4549.56,3,2,0,0,New York,NY,Northeast,High,High
2025-02-07,S001,5646.31,4,2,0,0,New York,NY,Northeast,High,High
2025-02-08,S001,5717.37,5,2,0,0,New York,NY,Northeast,High,High
2025-02-09,S001,5331.56,6,2,0,0,New York,NY,Northeast,High,High
2025-02-10,S001,4125.65,0,2,0,0,New York,NY,Northeast,High,High
2025-02-11,S001,4132.54,1,2,0,0,New York,NY,Northeast,High,High
2025-02-12,S001,4374.68,2,2,0,0,New York,NY,Northeast,High,High
2025-02-13,S001,4348.84,3,2,0,0,New York,NY,Northeast,High,High
2025-02-14,S001,5526.64,4,2,0,0,New York,NY,Northeast,High,High
2025-02-15,S001,4554.01,5,2,0,0,New York,NY,Northeast,High,High
2025-02-16,S001,6150.4,6,2,0,0,New York,NY,Northeast,High,High
2025-02-17,S001,8018.25,0,2,1,1,New York,NY,Northeast,High,High
2025-02-18,S001,3713.79,1,2,0,0,New York,NY,Northeast,High,High
2025-02-19,S001,4807.12,2,2,0,0,New York,NY,Northeast,High,High
2025-02-20,S001,4710.24,3,2,0,0,New York,NY,Northeast,High,High
2025-02-21,S001,5547.77,4,2,0,0,New York,NY,Northeast,High,High
2025-02-22,S001,9026.0,5,2,0,1,New York,NY,Northeast,High,High
2025-02-23,S001,4940.09,6,2,0,0,New York,NY,Northeast,High,High
2025-02-24,S001,4123.85,0,2,0,0,New York,NY,Northeast,High,High
2025-02-25,S001,4311.85,1,2,0,0,New York,NY,Northeast,High,High
2025-02-26,S001,4389.56,2,2,0,0,New York,NY,Northeast,High,High
2025-02-27,S001,3751.9,3,2,0,0,New York,NY,Northeast,High,High
2025-02-28,S001,4276.58,4,2,0,0,New York,NY,Northeast,High,High
2025-03-01,S001,8306.48,5,3,0,1,New York,NY,Northeast,High,High
2025-03-02,S001,6010.39,6,3,0,0,New York,NY,Northeast,High,High
2025-03-03,S001,3828.38,0,3,0,0,New York,NY,Northeast,High,High
2025-03-04,S001,3756.26,1,3,0,0,New York,NY,Northeast,High,High
2025-03-05,S001,3868.51,2,3,0,0,New York,NY,Northeast,High,High
2025-03-06,S001,4423.03,3,3,0,0,New York,NY,Northeast,High,High
2025-03-07,S001,5036.29,4,3,0,0,New York,NY,Northeast,High,High
2024-07-01,S002,6805.29,0,7,0,0,Los Angeles,CA,West,High,High
2024-07-02,S002,5376.85,1,7,0,0,Los Angeles,CA,West,High,High
2024-07-03,S002,6094.21,2,7,0,0,Los Angeles,CA,West,High,High
2024-07-04,S002,9583.83,3,7,1,0,Los Angeles,CA,West,High,High
2024-07-05,S002,8823.67,4,7,0,0,Los Angeles,CA,West,High,High
2024-07-06,S002,9004.97,5,7,0,1,Los Angeles,CA,West,High,High
2024-07-07,S002,8126.53,6,7,0,0,Los Angeles,CA,West,High,High
2024-07-08,S002,5653.0,0,7,0,0,Los Angeles,CA,West,High,High
2024-07-09,S002,5891.38,1,7,0,0,Los Angeles,CA,West,High,High
2024-07-10,S002,6251.71,2,7,0,0,Los Angeles,CA,West,High,High
2024-07-11,S002,5227.21,3,7,0,0,Los Angeles,CA,West,High,High
2024-07-12,S002,7704.85,4,7,0,0,Los Angeles,CA,West,High,High
2024-07-13,S002,9002.51,5,7,0,0,Los Angeles,CA,West,High,High
2024-07-14,S002,8428.8,6,7,0,0,Los Angeles,CA,West,High,High
2024-07-15,S002,6048.37,0,7,0,0,Los Angeles,CA,West,High,High
2024-07-16,S002,5796.93,1,7,0,0,Los Angeles,CA,West,High,High
2024-07-17,S002,5266.02,2,7,0,0,Los Angeles,CA,West,High,High
2024-07-18,S002,5943.47,3,7,0,0,Los Angeles,CA,West,High,High
2024-07-19,S002,7662.33,4,7,0,0,Los Angeles,CA,West,High,High
2024-07-20,S002,8473.6,5,7,0,0,Los Angeles,CA,West,High,High
2024-07-21,S002,8657.99,6,7,0,0,Los Angeles,CA,West,High,High
2024-07-22,S002,5675.15,0,7,0,0,Los Angeles,CA,West,High,High
2024-07-23,S002,6824.71,1,7,0,0,Los Angeles,CA,West,High,High
2024-07-24,S002,6548.7,2,7,0,0,Los Angeles,CA,West,High,High
2024-07-25,S002,5742.61,3,7,0,0,Los Angeles,CA,West,High,High
2024-07-26,S002,6986.33,4,7,0,0,Los Angeles,CA,West,High,High
2024-07-27,S002,9472.03,5,7,0,0,Los Angeles,CA,West,High,High
2024-07-28,S002,7929.66,6,7,0,0,Los Angeles,CA,West,High,High
2024-07-29,S002,6714.91,0,7,0,0,Los Angeles,CA,West,High,High
2024-07-30,S002,5466.3,1,7,0,0,Los Angeles,CA,West,High,High
2024-07-31,S002,6980.89,2,7,0,0,Los Angeles,CA,West,High,High
2024-08-01,S002,6173.11,3,8,0,0,Los Angeles,CA,West,High,High
2024-08-02,S002,6896.1,4,8,0,0,Los Angeles,CA,West,High,High
2024-08-03,S002,8448.88,5,8,0,0,Los Angeles,CA,West,High,High
2024-08-04,S002,7230.91,6,8,0,0,Los Angeles,CA,West,High,High
2024-08-05,S002,5188.63,0,8,0,0,Los Angeles,CA,West,High,High
2024-08-06,S002,5162.54,1,8,0,0,Los Angeles,CA,West,High,High
2024-08-07,S002,5562.36,2,8,0,0,Los Angeles,CA,West,High,High
2024-08-08,S002,7481.6,3,8,0,1,Los Angeles,CA,West,High,High
2024-08-09,S002,9079.21,4,8,0,0,Los Angeles,CA,West,High,High
2024-08-10,S002,9303.09,5,8,0,0,Los Angeles,CA,West,High,High
2024-08-11,S002,6724.01,6,8,0,0,Los Angeles,CA,West,High,High
2024-08-12,S002,4734.07,0,8,0,0,Los Angeles,CA,West,High,High
2024-08-13,S002,5021.2,1,8,0,0,Los Angeles,CA,West,High,High
2024-08-14,S002,6391.04,2,8,0,0,Los Angeles,CA,West,High,High
2024-08-15,S002,5937.52,3,8,0,0,Los Angeles,CA,West,High,High
2024-08-16,S002,7502.14,4,8,0,0,Los Angeles,CA,West,High,High
2024-08-17,S002,10428.08,5,8,0,0,Los Angeles,CA,West,High,High
2024-08-18,S002,7564.46,6,8,0,0,Los Angeles,CA,West,High,High
2024-08-19,S002,4487.81,0,8,0,0,Los Angeles,CA,West,High,High
2024-08-20,S002,5960.38,1,8,0,1,Los Angeles,CA,West,High,High
2024-08-21,S002,5273.94,2,8,0,0,Los Angeles,CA,West,High,High
2024-08-22,S002,6379.99,3,8,0,0,Los Angeles,CA,West,High,High
2024-08-23,S002,7715.52,4,8,0,0,Los Angeles,CA,West,High,High
2024-08-24,S002,8407.44,5,8,0,0,Los Angeles,CA,West,High,High
2024-08-25,S002,7169.27,6,8,0,0,Los Angeles,CA,West,High,High
2024-08-26,S002,7099.35,0,8,0,1,Los Angeles,CA,West,High,High
2024-08-27,S002,6094.15,1,8,0,1,Los Angeles,CA,West,High,High
2024-08-28,S002,5904.99,2,8,0,0,Los Angeles,CA,West,High,High
2024-08-29,S002,5441.67,3,8,0,0,Los Angeles,CA,West,High,High
2024-08-30,S002,6128.02,4,8,0,0,Los Angeles,CA,West,High,High
2024-08-31,S002,7848.82,5,8,0,0,Los Angeles,CA,West,High,High
2024-09-01,S002,7832.72,6,9,0,1,Los Angeles,CA,West,High,High
2024-09-02,S002,10341.55,0,9,1,1,Los Angeles,CA,West,High,High
2024-09-03,S002,5000.44,1,9,0,0,Los Angeles,CA,West,High,High
2024-09-04,S002,4509.24,2,9,0,0,Los Angeles,CA,West,High,High
2024-09-05,S002,5771.24,3,9,0,0,Los Angeles,CA,West,High,High
2024-09-06,S002,6796.2,4,9,0,0,Los Angeles,CA,West,High,High
2024-09-07,S002,9494.05,5,9,0,1,Los Angeles,CA,West,High,High
2024-09-08,S002,7942.9,6,9,0,0,Los Angeles,CA,West,High,High
2024-09-09,S002,5185.85,0,9,0,0,Los Angeles,CA,West,High,High
2024-09-10,S002,4423.95,1,9,0,0,Los Angeles,CA,West,High,High
2024-09-11,S002,5654.46,2,9,0,0,Los Angeles,CA,West,High,High
2024-09-12,S002,6060.73,3,9,0,0,Los Angeles,CA,West,High,High
2024-09-13,S002,5810.15,4,9,0,0,Los Angeles,CA,West,High,High
2024-09-14,S002,7881.05,5,9,0,0,Los Angeles,CA,West,High,High
2024-09-15,S002,5658.61,6,9,0,0,Los Angeles,CA,West,High,High
2024-09-16,S002,4666.28,0,9,0,0,Los Angeles,CA,West,High,High
2024-09-17,S002,5110.45,1,9,0,0,Los Angeles,CA,West,High,High
2024-09-18,S002,5014.13,2,9,0,0,Los Angeles,CA,West,High,High
2024-09-19,S002,6230.82,3,9,0,0,Los Angeles,CA,West,High,High
2024-09-20,S002,6871.1,4,9,0,0,Los Angeles,CA,West,High,High
2024-09-21,S002,6553.29,5,9,0,0,Los Angeles,CA,West,High,High
2024-09-22,S002,6705.29,6,9,0,0,Los Angeles,CA,West,High,High
2024-09-23,S002,6378.89,0,9,0,1,Los Angeles,CA,West,High,High
2024-09-24,S002,4278.38,1,9,0,0,Los Angeles,CA,West,High,High
2024-09-25,S002,4779.75,2,9,0,0,Los Angeles,CA,West,High,High
2024-09-26,S002,5711.71,3,9,0,0,Los Angeles,CA,West,High,High
2024-09-27,S002,7495.82,4,9,0,0,Los Angeles,CA,West,High,High
2024-09-28,S002,11285.1,5,9,0,1,Los Angeles,CA,West,High,High
2024-09-29,S002,7109.72,6,9,0,0,Los Angeles,CA,West,High,High
2024-09-30,S002,5304.83,0,9,0,0,Los Angeles,CA,West,High,High
2024-10-01,S002,5400.76,1,10,0,0,Los Angeles,CA,West,High,High
2024-10-02,S002,5569.3,2,10,0,0,Los Angeles,CA,West,High,High
2024-10-03,S002,5505.96,3,10,0,0,Los Angeles,CA,West,High,High
2024-10-04,S002,7594.24,4,10,0,0,Los Angeles,CA,West,High,High
2024-10-05,S002,9979.99,5,10,0,1,Los Angeles,CA,West,High,High
2024-10-06,S002,8291.12,6,10,0,0,Los Angeles,CA,West,High,High
2024-10-07,S002,7357.99,0,10,0,1,Los Angeles,CA,West,High,High
2024-10-08,S002,6093.61,1,10,0,0,Los Angeles,CA,West,High,High
2024-10-09,S002,5309.67,2,10,0,0,Los Angeles,CA,West,High,High
2024-10-10,S002,5728.28,3,10,0,0,Los Angeles,CA,West,High,High
2024-10-11,S002,8553.97,4,10,0,0,Los Angeles,CA,West,High,High
2024-10-12,S002,10602.28,5,10,0,1,Los Angeles,CA,West,High,High
2024-10-13,S002,7508.1,6,10,0,0,Los Angeles,CA,West,High,High
2024-10-14,S002,5961.64,0,10,0,0,Los Angeles,CA,West,High,High
2024-10-15,S002,5242.38,1,10,0,0,Los Angeles,CA,West,High,High
2024-10-16,S002,6340.71,2,10,0,0,Los Angeles,CA,West,High,High
2024-10-17,S002,6380.51,3,10,0,0,Los Angeles,CA,West,High,High
2024-10-18,S002,7598.85,4,10,0,0,Los Angeles,CA,West,High,High
2024-10-19,S002,8624.58,5,10,0,0,Los Angeles,CA,West,High,High
2024-10-20,S002,8607.22,6,10,0,0,Los Angeles,CA,West,High,High
