Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating
193652,4,2.0,3781,1953,2,2.0,58093,82.48,6
834108,3,2.5,2409,1984,0,1.23,57042,2.58,5
420729,4,3.5,4997,1973,1,0.5,63516,46.07,2
999684,4,3.5,3462,2022,1,1.26,47487,65.39,4
347881,2,2.5,1747,1907,0,0.85,50849,52.95,4
999684,2,2.0,1336,1958,1,1.29,24550,13.58,5
558953,3,2.5,4363,1930,0,1.04,86400,22.57,9
713223,5,3.0,3097,1984,0,1.1,94597,29.23,6
981396,1,3.0,2399,1904,3,0.57,59699,71.9,8
316137,1,2.5,3487,1975,0,1.59,88160,54.23,3
816975,3,3.0,2485,1940,1,0.44,78897,38.16,5
999684,3,4.0,3008,1936,2,0.46,23707,61.09,8
148378,3,3.0,3043,1910,1,1.26,11924,27.72,1
859741,3,2.5,3878,1946,1,1.93,88183,70.58,4
999684,3,1.0,3767,2002,2,0.87,39018,62.29,7
999684,5,1.0,3516,1962,3,1.44,97163,42.86,5
300435,1,3.0,2422,1985,0,1.64,31031,44.65,4
281261,2,2.5,2261,2022,1,1.5,75164,39.48,4
855759,3,2.0,1300,1972,0,0.89,78237,77.99,6
783682,1,2.5,2654,1942,1,0.47,59573,55.54,1
999684,3,2.5,4997,1979,2,0.11,26719,43.09,5
926292,5,3.5,2724,1943,1,0.92,19718,21.38,7
457807,3,2.5,2140,1944,1,1.7,10056,66.29,4
678046,3,2.0,2024,1908,0,0.45,25352,64.95,1
956240,1,3.5,3211,1996,2,1.44,57820,34.19,4
514905,2,2.5,3240,1949,3,0.55,78683,37.22,5
999684,2,3.0,2515,1969,0,1.12,79073,45.95,2
864121,3,2.0,1967,1925,1,1.44,98348,16.11,5
362966,5,2.0,3889,1978,2,0.7,10721,51.44,6
968150,4,2.5,1554,1935,3,1.15,92305,1.95,8
404365,1,2.5,2518,1957,0,0.84,61969,12.48,5
999684,3,3.0,4102,1994,1,1.44,50194,34.65,5
999684,4,2.0,1928,1991,2,1.19,56556,31.23,4
416644,5,1.0,1950,1962,1,1.09,56775,62.32,4
999684,5,2.0,4997,1902,0,1.9,89882,57.47,7
865627,1,3.0,1617,2022,2,1.42,49883,88.95,4
999684,2,2.0,4060,2022,3,0.69,20911,51.99,7
999684,1,2.0,2163,1989,2,1.01,75795,55.25,5
640473,3,3.5,2869,1935,0,1.02,30872,15.84,2
526165,4,2.0,3944,1958,1,1.1,84327,15.9,3
435338,4,1.0,2366,1943,3,2.0,83072,51.17,9
510948,3,2.5,3221,2008,3,1.26,95968,51.67,5
684931,3,2.0,2607,1972,2,0.11,54537,57.66,1
705308,3,1.5,1487,1934,2,0.77,95077,85.87,2
872191,2,2.5,3107,1946,1,0.11,26860,17.17,3
999684,5,3.0,3464,2003,1,0.88,80819,97.97,3
790516,1,2.5,2159,2020,1,0.11,40743,6.42,2
999684,3,2.5,1619,2018,2,0.59,52559,60.06,9
882803,5,4.0,4997,1990,3,0.24,82941,13.44,7
999684,3,2.0,4108,1953,3,1.27,42205,70.17,5
999684,3,2.5,4213,1902,0,1.06,99944,6.6,4
458386,2,2.0,2340,1973,2,1.22,27645,0.19,5
333445,3,1.5,1000,1962,2,1.0,81859,53.52,9
999684,5,2.0,4997,1968,2,0.31,81473,45.72,3
595292,1,2.0,2274,1964,1,1.34,60734,81.16,1
999684,5,3.0,2885,1915,3,2.0,40431,51.56,7
999684,1,4.0,2844,1983,0,1.28,70914,27.88,8
948343,3,2.0,4455,1985,0,0.83,27882,33.78,9
433606,2,2.0,2677,1987,2,0.29,88539,99.71,4
246477,4,2.5,4946,1997,3,0.57,53346,24.14,4
701366,1,3.0,3639,1984,1,1.3,22979,64.42,9
999684,4,2.5,2136,1948,1,1.64,54828,60.9,7
849494,5,3.5,2975,1960,3,1.2,17228,65.09,5
320171,1,1.0,3489,1966,1,1.49,84836,62.74,6
702358,3,1.0,850,1966,1,1.44,84217,41.62,4
999684,2,2.0,2526,1998,2,1.33,83803,0.19,6
418649,4,3.5,1714,1986,2,0.7,80908,53.8,6
914344,3,1.0,2494,2022,3,1.15,48918,48.95,7
788119,2,1.0,2348,2022,3,0.6,20920,52.89,2
346458,4,3.0,2993,1965,2,1.07,92392,65.59,6
811192,5,2.5,3120,1902,2,1.24,37785,37.41,2
999684,3,1.5,1754,2007,2,1.97,92757,31.46,9
999684,4,1.5,4997,1943,2,0.35,35178,75.26,4
999684,1,1.5,4291,1934,2,1.32,81997,39.85,1
233628,2,2.5,1318,1948,2,1.86,93401,35.11,9
478128,4,2.0,4997,1946,3,1.47,24052,32.61,4
999684,5,3.0,3302,1985,3,1.51,82868,66.44,5
855521,3,1.0,3217,1906,0,1.38,59383,43.28,1
880563,3,1.5,2987,1924,2,1.76,10327,99.71,5
999684,3,1.5,2275,1975,1,0.47,98301,50.97,9
999684,1,2.0,3520,1985,1,0.31,80775,14.58,7
999684,4,2.0,3571,1986,2,1.06,85614,36.74,1
999684,4,3.0,2852,1934,2,0.11,17038,68.19,3
893898,2,1.0,1148,1927,1,1.72,18048,32.04,8
595375,2,2.5,1638,1944,0,1.72,24954,48.82,7
885740,3,3.0,1104,1971,0,0.83,67541,77.49,4
507740,2,4.0,2719,2016,3,0.86,55471,81.82,6
540029,3,2.0,1635,1902,0,1.02,78315,34.22,2
585089,5,2.5,3462,1955,3,1.09,23225,41.93,2
798155,3,1.0,4697,1915,2,1.13,95256,52.11,1
999684,2,1.0,4135,1903,3,1.36,23531,87.97,8
178539,2,3.0,2666,1997,1,0.97,80871,17.66,5
999684,4,2.5,3317,1982,0,1.57,19530,59.68,5
186698,3,3.5,4997,1979,2,1.3,69035,50.92,1
666388,2,1.5,3326,1996,3,0.73,34791,23.49,5
999684,5,3.0,3387,1945,3,1.78,11649,84.94,7
662952,5,4.0,2077,1947,1,0.33,23472,77.83,1
391509,2,3.0,3174,2022,2,1.01,78398,93.61,5
499643,1,2.5,3336,1954,1,1.58,37134,83.3,5
999684,4,2.5,2667,1989,1,0.67,76453,49.61,4
532268,2,1.0,3052,1963,3,1.23,22444,67.15,9
821720,4,3.5,2987,1902,0,1.35,51121,58.87,8
743825,1,2.0,2127,1902,1,0.6,96057,23.21,9
435491,4,3.0,1208,1942,0,1.02,48217,11.77,2
999684,1,1.0,2082,2001,0,0.98,32066,59.94,6
999684,4,1.5,4577,1991,2,0.76,78347,52.1,9
163393,3,3.5,2309,1995,3,2.0,46189,39.63,3
853443,2,2.0,2767,1927,1,0.65,84826,46.66,9
505565,2,3.5,1803,2021,0,1.6,73477,99.71,6
999684,4,2.5,3851,1928,2,0.85,45489,0.19,1
444681,3,1.0,2804,1970,3,0.47,37284,67.74,2
670877,4,3.0,2300,1962,1,1.12,34698,73.58,4
999684,5,2.0,4997,1956,1,1.41,53660,77.18,5
999684,1,3.0,3455,2011,2,1.56,29637,9.64,8
314174,5,2.5,3057,1937,3,1.9,58024,40.88,5
679629,3,1.0,3656,1914,1,2.0,70405,39.44,8
614187,2,2.5,3346,1963,0,1.2,71305,57.73,5
542749,1,4.0,3113,1948,2,0.7,43556,16.8,5
999684,3,3.0,1041,2022,2,1.3,92176,60.22,4
999684,4,2.5,4621,1987,2,0.92,79561,23.85,8
280688,3,3.5,2383,1948,1,1.56,82277,40.75,5
999684,5,2.5,3352,1924,3,0.36,13654,88.04,3
999684,1,2.5,4291,1902,2,2.0,50428,73.57,6
999684,3,1.5,3423,1926,1,1.52,48036,52.88,4
187020,1,2.5,1886,1967,2,0.15,54549,9.24,4
557511,3,3.5,850,2014,0,0.68,75355,58.89,8
999684,4,1.5,4997,2003,2,1.5,72119,60.82,5
493363,2,3.5,1100,1971,1,1.7,99096,0.19,9
820764,1,2.5,1149,1951,1,0.37,56257,59.42,7
999684,3,1.5,2667,1972,1,1.45,25987,18.34,3
484340,4,3.5,4997,1944,2,0.11,30810,6.72,3
898455,4,2.0,4343,2022,3,1.01,30311,17.02,2
190048,5,3.0,3590,1956,2,1.66,64478,0.19,7
370416,1,2.0,2714,1959,1,0.76,44920,37.59,3
583176,4,2.5,2704,1902,2,0.25,18738,20.38,1
291586,5,3.0,3945,1955,2,1.14,83424,82.16,1
999684,1,2.5,2434,1993,1,0.73,72232,38.98,2
251022,3,1.0,4218,1924,1,1.4,15474,28.6,6
657883,2,1.5,3858,1935,1,0.58,69026,3.46,5
976049,3,3.5,3652,1991,2,0.64,76024,37.0,8
999684,3,2.5,2630,1909,1,0.11,60974,88.29,3
241770,2,2.0,3589,2001,1,1.15,34144,93.87,4
999684,2,1.5,2595,1943,3,0.97,15622,38.82,9
686399,3,1.5,1772,1949,3,0.42,62273,47.32,4
346700,1,1.0,1865,1922,1,1.16,49214,69.56,6
932263,1,2.5,2447,1976,2,1.61,67993,19.79,3
999684,4,2.0,4506,2022,2,0.94,35223,59.95,4
520628,1,1.5,2128,1991,2,1.2,31865,99.71,6
719544,4,2.5,1978,1931,2,1.21,84108,71.35,7
687758,4,3.0,3488,2003,3,0.41,73649,70.43,5
738730,1,4.0,2482,1951,2,2.0,53026,88.01,4
999684,2,1.0,2926,2012,1,0.81,99037,75.34,5
999684,5,3.5,4876,1992,3,1.41,69207,42.04,3
310309,2,3.5,3920,1902,2,1.48,36866,15.35,5
999684,2,2.0,1996,1926,2,0.98,22416,45.48,6
187251,4,2.5,2685,1996,2,1.39,35775,21.4,8
666015,4,2.0,2180,1968,1,1.19,39080,41.2,3
999684,3,2.5,3896,1926,2,0.29,80423,24.24,5
920823,2,4.0,4433,1940,1,0.88,29374,38.1,2
522776,5,3.0,3403,1902,1,0.73,68451,6.56,4
781268,5,3.0,3490,1959,0,0.81,62599,29.36,8
730612,4,2.0,4997,2022,0,0.36,92141,60.99,4
601889,3,1.0,3666,1991,1,1.67,25684,68.26,5
999684,2,2.5,3225,2022,1,1.93,34002,62.01,2
828354,2,3.5,1284,1994,2,1.59,32972,38.5,4
556554,4,1.0,4230,1999,1,1.75,76153,52.91,1
999684,4,1.5,2312,2022,0,0.87,56404,99.71,6
912827,5,2.5,2426,1976,3,0.72,16309,28.57,6
999684,4,1.5,3007,1956,3,0.64,94675,95.53,6
999684,1,2.0,1648,2000,2,1.41,78326,7.75,6
542205,4,2.0,3156,2015,3,1.18,17826,0.19,6
434524,2,1.5,985,1945,0,1.02,22134,45.08,1
999684,2,1.5,3848,1937,3,1.76,29693,48.24,3
999684,3,3.0,4408,1967,0,1.28,14054,16.77,1
712832,5,1.5,1566,1992,2,0.61,26090,39.84,4
954727,5,1.0,4946,1991,0,0.69,99344,60.91,3
999684,4,2.0,2454,1911,2,1.43,25569,21.25,5
686162,3,3.0,4085,2022,2,1.62,42227,78.57,9
989071,4,2.5,3339,1939,1,1.36,16508,81.71,7
746154,4,2.0,3455,1953,2,2.0,26608,85.17,9
698296,3,2.5,2842,1930,2,1.94,99059,23.18,7
999684,5,1.0,4997,2022,1,1.3,85969,26.93,5
995871,3,3.0,1584,1971,1,0.61,34520,44.34,5
999684,4,3.0,4146,1932,2,0.35,87424,41.48,7
999684,4,2.0,4734,1994,1,0.85,40932,39.94,6
875589,4,3.5,4275,1990,3,1.47,29734,71.08,4
999684,4,1.5,4997,1956,3,2.0,79363,66.93,9
671894,2,3.5,2073,1993,0,1.29,60555,24.14,6
890304,2,2.5,3847,1933,3,1.69,26257,16.47,1
693878,1,2.0,2220,1945,3,0.93,42194,13.65,5
880489,4,2.5,4892,1902,2,1.4,26793,24.01,5
932967,4,2.5,3411,1915,2,1.5,44684,73.67,4
499607,4,3.5,2958,2022,3,0.11,63219,53.45,4
999684,5,1.5,4997,2022,1,0.84,12859,75.98,4
372360,3,2.0,2476,1965,2,1.57,49840,0.38,1
287200,4,3.5,1735,2022,0,1.21,69327,57.19,1
999684,1,2.0,1730,1957,2,0.41,44819,56.82,3
999684,2,3.5,3443,1954,2,0.11,95621,83.88,4
999684,4,4.0,4997,1965,2,0.86,83750,37.54,2
999684,4,2.0,3553,1958,3,1.02,51704,35.51,2
821205,3,3.0,4635,1955,1,0.58,76137,92.69,4
432507,3,1.5,1442,2004,1,1.14,70379,44.4,8
778809,1,3.0,1818,1968,3,1.33,34318,54.42,8
536598,2,2.5,2360,1988,1,1.42,90987,63.03,8
999684,4,3.0,3284,2000,2,0.11,73956,1.31,2
773263,4,2.0,3521,1976,1,0.35,15274,50.5,5
529601,4,1.0,4245,1928,1,0.9,28226,13.47,8
550022,3,3.0,2532,1914,3,1.37,53634,46.8,1
960070,3,1.0,3228,1968,1,1.32,74501,40.84,4
563974,2,2.0,2651,1956,0,1.31,29046,34.74,6
406961,4,3.5,2316,1966,1,0.85,84210,67.36,1
911402,4,2.5,3285,1962,0,0.88,94559,52.12,6
999684,4,4.0,3249,2022,1,0.67,31910,18.78,9
570111,2,3.5,2508,1915,0,1.47,21503,17.8,8
509348,1,2.0,2384,1902,2,0.56,58392,73.51,5
985448,5,2.5,3869,1974,1,1.52,71472,48.23,7
201305,2,2.5,2189,1949,2,1.17,80904,8.32,1
279113,2,1.0,4223,1974,3,1.04,99063,37.33,6
477706,4,1.5,2025,1984,2,0.71,55335,44.79,4
706229,2,2.0,1844,2009,1,0.33,32487,13.8,5
979088,5,1.0,4997,1908,2,0.71,46593,30.98,5
999684,4,2.5,2182,1942,0,0.88,85927,75.75,6
914530,4,2.0,1805,1978,1,0.11,19874,99.71,1
720759,1,1.0,3223,1990,1,0.95,64822,58.03,2
765357,5,3.0,1566,2022,2,1.56,63948,10.31,4
385958,3,3.0,2782,1997,3,1.37,13608,43.05,1
873832,2,2.5,4649,1960,2,0.79,64501,52.83,5
556652,3,2.0,1219,1930,0,1.09,63912,71.96,7
762995,1,3.0,840,1942,1,0.76,37546,72.64,9
386946,4,3.0,1632,1941,2,1.14,78203,88.6,5
999684,1,2.5,3418,1986,2,1.89,72496,49.28,9
999684,1,1.5,3688,1972,1,1.58,65186,49.83,5
615366,1,2.5,1735,1915,2,1.34,52346,0.19,2
999684,5,3.5,4594,1947,0,0.79,15230,20.16,5
999684,2,2.0,4363,1994,0,1.46,35720,10.1,5
775160,5,4.0,4997,1975,2,0.15,53023,25.12,6
898813,2,2.0,2411,1983,0,0.92,47602,16.16,6
699244,1,2.5,840,1976,2,1.38,77082,18.11,6
795203,1,2.0,1367,2021,0,1.46,25050,80.68,8
518623,5,2.5,3269,1971,3,1.42,61315,0.19,4
793922,3,1.0,2754,1949,1,1.22,62164,43.61,7
884295,2,2.0,2480,1930,1,0.95,40134,74.2,6
999684,3,1.5,4397,1971,2,1.35,25640,40.64,5
999684,4,2.5,4941,1902,1,0.55,96364,87.53,5
999684,5,3.5,3574,1956,2,0.6,71671,32.06,2
524559,5,3.0,4997,1955,2,1.09,24284,99.71,4
999684,2,1.0,3131,1913,3,1.15,70526,4.16,5
720529,1,4.0,2423,1929,2,0.11,13423,87.58,3
999684,2,2.5,3786,1992,1,1.31,38577,23.57,1
458045,3,2.0,3149,1971,1,1.48,68900,90.92,4
522495,2,2.5,4649,1966,3,1.02,94606,35.84,4
435024,2,2.5,988,1974,3,2.0,77868,81.12,2
148695,3,2.0,2448,1966,0,0.69,16066,85.99,2
583483,3,2.5,2912,2007,2,0.87,93576,32.68,1
513382,3,2.0,3587,1967,1,0.85,67888,78.74,6
896436,2,2.0,4217,1910,1,1.02,18583,48.51,8
999684,3,2.0,3033,2021,0,0.88,48057,7.21,5
999684,2,1.0,1008,1976,1,0.3,32604,63.95,4
999684,4,2.5,4426,1941,3,0.76,36564,20.05,1
548485,4,3.0,4321,1917,2,1.01,71429,30.52,1
380557,1,3.0,840,1977,0,1.72,98393,23.62,5
967525,2,3.0,2700,1958,3,2.0,38941,60.21,7
246352,1,2.5,840,2019,3,1.78,65511,20.95,3
999684,2,2.0,1912,1950,1,0.64,47962,14.01,8
999684,3,3.0,1985,1932,2,0.68,48573,19.28,3
697185,1,1.5,3312,1995,1,0.97,35692,28.89,8
167123,2,1.5,2844,1996,1,2.0,68420,63.62,3
999684,2,1.5,1171,1969,3,0.97,92415,75.49,1
844331,3,3.5,4112,1987,1,0.34,45763,75.08,7
999684,3,3.5,1352,1961,0,0.79,92013,48.32,3
162546,2,3.0,3098,1971,1,1.47,55680,47.58,1
558682,3,3.5,2091,2004,1,1.43,16393,44.03,6
730629,2,1.5,2268,1985,3,0.95,43488,62.11,3
754878,3,3.0,3664,1956,2,1.43,31459,81.55,1
784055,5,2.5,4401,2011,1,0.11,22554,44.97,9
999684,5,3.0,4997,1902,3,1.12,47867,64.65,5
368519,1,2.5,2248,2022,2,1.52,88104,13.61,1
676297,4,2.0,3786,1902,1,0.61,55015,73.87,4
847036,4,3.0,2898,1940,3,0.61,15057,55.54,9
973816,1,3.0,2564,1961,2,0.11,93026,19.59,5
999684,4,2.0,3945,1957,2,1.92,15305,80.1,3
411252,5,2.5,3661,1999,2,0.67,71276,13.59,6
155701,1,1.5,840,1924,0,1.19,42740,0.19,4
999684,2,1.0,3100,1972,1,1.39,34118,73.7,4
902332,4,2.5,3855,1942,2,1.88,16674,60.41,3
507454,3,3.0,2251,1973,1,0.98,52331,14.45,7
999684,4,2.5,1888,1960,3,0.77,25316,59.55,6
988840,3,1.0,4823,1966,2,1.15,26217,83.0,9
999684,4,2.0,4007,1943,2,1.75,77541,56.84,6
743414,1,1.0,2073,1944,2,0.97,24602,99.71,9
999684,4,3.5,2064,1973,3,0.54,97181,24.82,7
999684,5,1.5,2798,1996,2,0.23,23987,0.19,4
781783,3,3.5,4616,1941,2,0.4,59915,8.7,5
999684,3,3.5,3227,1931,1,1.53,23543,0.19,9
974733,1,1.5,1690,1985,0,0.89,37944,99.71,9
999684,4,1.5,4029,1961,2,0.73,68241,49.18,9
372416,4,3.0,2449,1992,1,0.67,19144,99.71,2
999684,3,1.5,4853,1930,1,1.11,48459,39.11,1
999684,5,2.5,4997,1902,3,0.93,49827,23.26,3
163038,2,2.0,2148,1943,0,0.91,40741,0.19,6
299787,4,1.0,2670,1935,1,1.79,80015,37.9,3
136305,1,1.0,840,1960,3,1.89,79734,73.62,5
562217,3,2.5,1295,1940,2,0.19,84627,42.85,4
941053,3,2.0,1465,1989,1,1.24,79741,3.33,1
999684,3,2.0,3224,1952,2,0.64,79177,68.12,6
757677,2,3.0,2315,1968,2,0.93,13543,73.47,5
999684,3,3.5,1458,1968,0,1.23,15591,34.07,9
267301,4,2.0,3085,1970,1,0.95,66395,30.46,6
187662,2,2.0,3307,1962,3,1.18,70434,0.19,7
743127,1,3.0,2976,1981,1,1.42,39055,67.4,3
814770,5,1.5,1566,1934,1,1.22,16116,36.01,6
945807,5,2.5,3625,2013,1,0.71,65485,0.19,7
148951,1,3.0,840,1954,1,0.72,76297,6.56,7
754301,4,3.0,4496,1915,1,0.28,12407,65.51,4
308015,2,1.0,3640,1969,2,0.6,41594,39.48,6
976376,3,2.0,1991,1932,2,2.0,76421,16.63,7
939570,3,1.5,2149,1986,2,0.63,45411,50.87,8
445536,3,2.5,2512,2022,0,0.42,86661,25.14,4
448575,2,3.0,840,1934,1,1.23,97030,30.81,2
376102,2,4.0,3105,1974,1,1.0,65444,41.56,3
626514,2,2.0,2379,1902,2,0.95,97581,97.85,5
999684,2,2.0,3862,1979,1,1.82,97983,97.71,5
376678,3,3.5,1752,1931,3,1.36,36238,0.19,7
899799,2,2.5,1966,1940,3,0.77,51703,47.46,7
470326,4,3.5,1623,1923,0,0.83,45196,7.51,1
487653,5,2.5,2580,1989,1,0.79,87221,18.71,4
722497,2,1.5,1294,1999,1,1.53,22738,0.19,6
458034,3,1.5,4251,1963,3,0.89,25772,24.34,8
543903,4,1.0,2587,1931,1,0.11,75270,14.97,5
382309,4,3.0,3569,2020,3,1.03,86169,78.85,9
999684,3,3.5,2608,1935,0,0.23,33492,25.08,7
705457,4,4.0,1906,1902,0,2.0,64979,0.19,6
